scan_number,session,bids_subdir,scan_suffix,scan_type,dim1,dim2,dim3,dim4,x,y,z,tr,visual_onset_suffix,motor_onset_suffix
1,ses-01,anat,_run-01_T1w.nii.gz,T1,256,256,150,1,1,1,1,,,
2,ses-01,func,_task-rest_run-01_bold.nii.gz,REST,128,128,34,144,1.875,1.875,4,2,,
