scan_number,session,bids_subdir,scan_suffix,scan_type,dim1,dim2,dim3,dim4,x,y,z,tr,visual_onset_suffix,motor_onset_suffix
1,ses-01,anat,_run-01_T1w.nii.gz,T1,160,256,256,1,1,1,1,,,
2,ses-01,func,_task-rest_run-01_bold.nii.gz,REST,80,80,38,150,3,3,3.840789,2,,
