scan_number,session,bids_subdir,scan_suffix,scan_type,dim1,dim2,dim3,dim4,x,y,z,tr,visual_onset_suffix,motor_onset_suffix,sub-301,sub-302,sub-303,sub-304,sub-305,sub-306,sub-307,sub-308,sub-309,sub-310,sub-311,sub-312,sub-313,sub-314,sub-315,sub-316
1,ses-01,anat,_run-01_T1w.nii.gz,T1,256,182,256,1,0.976562,1.2,0.976562,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,ses-01,func,_task-rest_run-01_bold.nii.gz,REST,128,128,45,162,1.5625,1.5625,3.1,2.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
