scan_number,session,bids_subdir,scan_suffix,scan_type,dim1,dim2,dim3,dim4,x,y,z,tr,visual_onset_suffix,motor_onset_suffix,sub-701,sub-702,sub-703,sub-704,sub-705,sub-706,sub-707,sub-708,sub-709,sub-710,sub-711,sub-712,sub-713,sub-714,sub-715,sub-716,sub-717,sub-718,sub-719,sub-720
1,ses-01,anat,_run-01_T1w.nii.gz,T1,192,256,256,1,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,ses-01,func,_task-rest_run-01_bold.nii.gz,REST,64,64,39,198,3,3,3.51,2.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
